Category,Audience Name,Description
Automotive,Automotive > Auto & Vehicle Financing > Auto Lease Term Ends in 0 - 3 Months,TransUnion Auto & Vehicle Financing audiences are based upon offline financial information for consumers with active auto loans and leases. Auto & Vehicle Financing audiences are aggregated and depersonalized.
Automotive,Automotive > Auto & Vehicle Financing > Auto Lease Term Ends in 10 - 12 Months,TransUnion Auto & Vehicle Financing audiences are based upon offline financial information for consumers with active auto loans and leases. Auto & Vehicle Financing audiences are aggregated and depersonalized.
Automotive,Automotive > Auto & Vehicle Financing > Auto Lease Term Ends in 4 - 6 Months,TransUnion Auto & Vehicle Financing audiences are based upon offline financial information for consumers with active auto loans and leases. Auto & Vehicle Financing audiences are aggregated and depersonalized.
Automotive,Automotive > Auto & Vehicle Financing > Auto Lease Term Ends in 7 - 9 Months,TransUnion Auto & Vehicle Financing audiences are based upon offline financial information for consumers with active auto loans and leases. Auto & Vehicle Financing audiences are aggregated and depersonalized.
Automotive,Automotive > Auto & Vehicle Financing > HH Leases Auto w/Keyless Start/ Remote Starter,"Neustar utilizes transaction data on 150+ million individuals, 100+ million households. These transactions capture VIN, make, model, year, as well as identifier information. Sources include point of sale and service, online insurance quotes, warranty companies, aftermarket repair companies, and car clubs. Neustar also utilizes a nationally recognized, opt-in survey of 25,000+ respondents. This representative study is the result of a comprehensive, continuously fielded survey inclusive of both English and Spanish speakers."
Automotive,Automotive > Auto & Vehicle Financing > HH Most Recent Car Financed-W/Financing from Auto Manufacturer,"Neustar utilizes transaction data on 150+ million individuals, 100+ million households. These transactions capture VIN, make, model, year, as well as identifier information. Sources include point of sale and service, online insurance quotes, warranty companies, aftermarket repair companies, and car clubs. Neustar also utilizes a nationally recognized, opt-in survey of 25,000+ respondents. This representative study is the result of a comprehensive, continuously fielded survey inclusive of both English and Spanish speakers."
Automotive,Automotive > Auto & Vehicle Financing > Highest # of Active Open Auto Loans,TransUnion Auto & Vehicle Financing audiences are based upon offline financial information for consumers with active auto loans and leases. Auto & Vehicle Financing audiences are aggregated and depersonalized.
Automotive,Automotive > Auto & Vehicle Financing > Highest Auto Loan Balance,TransUnion Auto & Vehicle Financing audiences are based upon offline financial information for consumers with active auto loans and leases. Auto & Vehicle Financing audiences are aggregated and depersonalized.
Automotive,Automotive > Auto & Vehicle Financing > Household Leases Auto w/ GPS-Navigation System,"Neustar utilizes transaction data on 150+ million individuals, 100+ million households. These transactions capture VIN, make, model, year, as well as identifier information. Sources include point of sale and service, online insurance quotes, warranty companies, aftermarket repair companies, and car clubs. Neustar also utilizes a nationally recognized, opt-in survey of 25,000+ respondents. This representative study is the result of a comprehensive, continuously fielded survey inclusive of both English and Spanish speakers."
Automotive,Automotive > Auto & Vehicle Financing > Lowest # of Active Open Auto Loans,TransUnion Auto & Vehicle Financing audiences are based upon offline financial information for consumers with active auto loans and leases. Auto & Vehicle Financing audiences are aggregated and depersonalized.
Automotive,Automotive > Auto & Vehicle Financing > Lowest Auto Loan Balance,TransUnion Auto & Vehicle Financing audiences are based upon offline financial information for consumers with active auto loans and leases. Auto & Vehicle Financing audiences are aggregated and depersonalized.
Automotive,Automotive > Auto & Vehicle Ownership > Average Number of Vehicles > # SUVs HH Leases: 1,"Neustar utilizes transaction data on 150+ million individuals, 100+ million households. These transactions capture VIN, make, model, year, as well as identifier information. Sources include point of sale and service, online insurance quotes, warranty companies, aftermarket repair companies, and car clubs. Neustar also utilizes a nationally recognized, opt-in survey of 25,000+ respondents. This representative study is the result of a comprehensive, continuously fielded survey inclusive of both English and Spanish speakers."
Automotive,Automotive > Auto & Vehicle Ownership > Average Number of Vehicles > 1,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
Automotive,Automotive > Auto & Vehicle Ownership > Average Number of Vehicles > 2,"TransUnion Auto & Vehicle Ownership audiences are compiled from aftermarket sources like third-party service records including oil changes, dealer service centers and body shops and cover more than 300 leading manufacturers and models."
